55344	PLCXD1	Y	+	142991
8225	GTPBP6	Y	-	171417
55344	PLCXD1	X	+	192991
8225	GTPBP6	X	-	221417
283981	LINC00685	Y	+	231385
28227	PPP2R3B	Y	-	244668
283981	LINC00685	X	+	281385
28227	PPP2R3B	X	-	294668
6473	SHOX	Y	+	535079
64109	CRLF2	Y	-	1264894
1438	CSF2RA	Y	+	1337693
100500894	MIR3690	Y	+	1362811
1438	CSF2RA	X	+	1387693
3563	IL3RA	Y	+	1405509
100500894	MIR3690	X	+	1412811
293	SLC25A6	Y	-	1455045
3563	IL3RA	X	+	1455509
751580	LINC00106	Y	+	1465918
80161	ASMTL-AS1	Y	+	1469424
8623	ASMTL	Y	-	1472032
293	SLC25A6	X	-	1505045
751580	LINC00106	X	+	1515918
80161	ASMTL-AS1	X	+	1519424
8623	ASMTL	X	-	1522032
286530	P2RY8	Y	-	1531466
8227	AKAP17A	Y	+	1660486
438	ASMT	Y	+	1664348
8227	AKAP17A	X	+	1710486
438	ASMT	X	+	1714348
207063	DHRSX	Y	-	2087555
9189	ZBED1	Y	-	2354455
102464837	MIR6089	Y	+	2477232
401577	CD99P1	Y	+	2477306
102464837	MIR6089	X	+	2527232
401577	CD99P1	X	+	2527306
100359394	LINC00102	X	-	2531032
4267	CD99	Y	+	2559228
100132596	XGY2	Y	+	2620337
6736	SRY	Y	-	2654896
7499	XG	X	+	2670093
100132596	XGY2	X	+	2670337
6192	RPS4Y1	Y	+	2709623
8908	GYG2	X	+	2746863
7544	ZFY	Y	+	2803112
414	ARSD	X	-	2822011
415	ARSE	X	-	2852673
100873962	LINC00278	Y	+	2871037
347527	ARSH	X	+	2924654
416	ARSF	X	+	2958275
100129464	LINC01546	X	+	3189861
25878	MXRA5	X	-	3226609
90655	TGIF2LY	Y	+	3447126
5613	PRKX	X	-	3522384
100873944	PRKX-AS1	X	+	3577528
389906	LOC389906	X	-	3735576
101928201	LOC101928201	X	-	4545241
83259	PCDH11Y	Y	+	4868267
57502	NLGN4X	X	-	5808067
100101121	TTTY23B	Y	-	6110487
252955	TTTY23	Y	-	6110487
64591	TSPY2	Y	+	6114264
100873964	LINC00280	Y	-	6225260
100101116	TTTY1B	Y	+	6258442
50858	TTTY1	Y	+	6258442
100101117	TTTY2B	Y	-	6274285
60439	TTTY2	Y	-	6274285
100616373	MIR4770	X	-	6301947
100101115	TTTY21B	Y	+	6311475
252953	TTTY21	Y	+	6311475
100101120	TTTY7B	Y	+	6317509
246122	TTTY7	Y	+	6317509
100101118	TTTY8B	Y	-	6339072
84673	TTTY8	Y	-	6339072
51481	VCX3A	X	-	6451659
266	AMELY	Y	-	6733959
90665	TBL1Y	Y	+	6778727
8226	HDHD1	X	-	6966961
100616467	MIR4767	X	+	7065901
412	STS	X	+	7137472
5616	PRKY	Y	+	7142013
252948	TTTY16	Y	-	7567398
83867	TTTY12	Y	+	7672965
26609	VCX	X	+	7810303
8228	PNPLA4	X	-	7866804
723779	MIR651	X	+	8095006
51480	VCX2	X	-	8137985
425054	VCX3B	X	+	8432871
3730	ANOS1	X	-	8496915
252950	TTTY18	Y	-	8551411
